Annot,1,2,3,N,geneID1,geneIDCommon,geneID2
Endometrial cancer,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Epstein-Barr virus infection,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
ErbB signaling pathway,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Estrogen signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Fc epsilon RI signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Fc gamma R-mediated phagocytosis,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Focal adhesion,9,9,10,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Folate biosynthesis,6,6,7,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
FoxO signaling pathway,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Fructose and mannose metabolism,7,7,7,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
Gastric acid secretion,12,12,12,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ Q9JI91:actinin alpha 2(Actn2)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Glioma,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Glucagon signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Glycolysis / Gluconeogenesis,7,7,7,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)
HIF-1 signaling pathway,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
HTLV-I infection,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Hepatitis B,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Hepatitis C,11,11,11,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ P50428:arylsulfatase A(Arsa)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Hippo signaling pathway,1,1,1,1666,Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
Huntington's disease,14,14,16,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q8VDN2:ATPase; Na+/K+ transporting; alpha 1 polypeptide(Atp1a1)_ P53698:cytochrome c capable of functionally substituting for S. cerevisiae CYC1 (YJR048W) mitochondrial iso-1-cytochrome c(CYC1)_ P12023:amyloid beta (A4) precursor protein(App)_ O54774:adaptor-related protein complex 3; delta 1 subunit(Ap3d1)_ P97450:ATP synthase; H+ transporting; mitochondrial F0 complex; subunit F(Atp5j)_ P50428:arylsulfatase A(Arsa)_ Q9ERK7:cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)(Chrnb2)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)_ Q9JI91:actinin alpha 2(Actn2)_ P04627:Araf proto-oncogene; serine/threonine kinase(Araf)_ P05064:aldolase A; fructose-bisphosphate(Aldoa)_ Q5A644:aconitase family protein similar to S. cerevisiae LYS4 (YDR234W) mitochondrial homoaconitase(LYS4)_ P09242:alkaline phosphatase; liver/bone/kidney(Alpl)_ P56480:ATP synthase; H+ transporting mitochondrial F1 complex; beta subunit(Atp5b)_ P24638:acid phosphatase 2; lysosomal(Acp2)
Influenza A,2,2,2,1666,P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab),P31750:thymoma viral proto-oncogene 1(Akt1)_ Q9CQV8:tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; beta polypeptide(Ywhab)
